museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57812,Cyclarhis,gujanensis,,,,,,a,0.81,1.62,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,12,Nov,1961
LSUMZ,57794,Cyclarhis,gujanensis,,,,,,a,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,2,Nov,1962
LSUMZ,57805,Cyclarhis,gujanensis,,,,,,a,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,8,Nov,1962
LSUMZ,57818,Cyclarhis,gujanensis,,,,,,a,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,14,Nov,1962
LSUMZ,57822,Cyclarhis,gujanensis,,,,,,a,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,22,Nov,1962
LSUMZ,57824,Cyclarhis,gujanensis,,,,,,u,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,24,Nov,1962
LSUMZ,57826,Cyclarhis,gujanensis,,,,,,u,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,U,29,Nov,1962
LSUMZ,57827,Cyclarhis,gujanensis,,,,,,u,,0,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,U,29,Nov,1962
LSUMZ,57757,Cyclarhis,gujanensis,,,,,,u,1.57,3.14,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,12,Jul,1961
LSUMZ,57759,Cyclarhis,gujanensis,,,,,,u,1.47,2.94,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,13,Jul,1961
LSUMZ,57766,Cyclarhis,gujanensis,,,,,,u,1.47,2.94,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,14,Jul,1961
LSUMZ,57765,Cyclarhis,gujanensis,,,,,,u,1.42,2.84,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,U,14,Jul,1961
LSUMZ,57770,Cyclarhis,gujanensis,,,,,,u,1.42,2.84,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,16,Jul,1961
LSUMZ,57780,Cyclarhis,gujanensis,,,,,,u,1.42,2.84,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,20,Jul,1961
LSUMZ,57768,Cyclarhis,gujanensis,,,,,,u,1.4,2.8,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,15,Jul,1961
LSUMZ,57750,Cyclarhis,gujanensis,,,,,,u,1.39,2.78,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,5,Jul,1961
LSUMZ,57775,Cyclarhis,gujanensis,,,,,,u,1.36,2.72,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,20,Jul,1961
LSUMZ,57773,Cyclarhis,gujanensis,,,,,,u,1.34,2.68,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,17,Jul,1961
LSUMZ,57769,Cyclarhis,gujanensis,,,,,,u,1.33,2.66,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,16,Jul,1961
LSUMZ,57752,Cyclarhis,gujanensis,,,,,,u,1.32,2.64,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,5,Jul,1961
LSUMZ,57753,Cyclarhis,gujanensis,,,,,,u,1.32,2.64,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,5,Jul,1961
LSUMZ,57754,Cyclarhis,gujanensis,,,,,,u,1.32,2.64,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,U,6,Jul,1961
LSUMZ,57774,Cyclarhis,gujanensis,,,,,,u,1.32,2.64,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,17,Jul,1961
LSUMZ,57776,Cyclarhis,gujanensis,,,,,,u,1.3,2.6,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,20,Jul,1961
LSUMZ,57782,Cyclarhis,gujanensis,,,,,,u,1.3,2.6,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,21,Jul,1961
